County,Obama,McCain,pct_Obama,pct_rural,medHHinc,unemp_rate,pct_poverty,medAge2007,medAge2000,Gini_Index,pct_native
Scott,29209,36726,44.29968909,36,42698,6.4,14.9,32.7,39,0.36,92.5937696
Sherburne,17960,26143,40.72285332,27,79213,5,4.2,31.3,32.7,0.35,97.6642753
Sibley,2998,4492,40.02670227,56,67634,6.2,5,NA,31.4,NA,NA
St. Louis,77332,38730,66.62990471,100,49918,6.3,9,40.4,37.3,0.43,98.135357
Stearns,35690,41194,46.42058166,43,51489,5.5,11.7,32.8,31.6,0.42,96.529182
Steele,9016,10068,47.24376441,34,53333,5.1,7.1,36.7,35.7,0.38,96.999861
Stevens,2780,2710,50.63752277,52,44888,4.6,13.4,NA,33.9,NA,NA
Swift,2907,2184,57.10076606,48,40499,6.1,11.7,NA,39.3,NA,NA
Todd,5277,6637,44.29242908,78,39655,6.6,13.5,40,38.5,0.41,96.6302899
Traverse,1041,933,52.73556231,100,42342,5.6,11.3,NA,42.9,NA,NA
Wabasha,5646,5935,48.75226664,65,49886,5,8.5,40.9,38,0.42,98.4323432
Wadena,2882,4127,41.11856185,67,35728,8.4,14.9,NA,39.9,NA,NA
Waseca,4401,5212,45.78175387,50,49108,5.5,8.5,NA,36.3,NA,NA
Washington,70281,64335,52.20850419,18,78113,5,4.7,36.5,35.1,0.39,94.0215555
Watonwan,2562,2526,50.35377358,61,43502,6.6,9.1,NA,38.6,NA,NA
Wilkin,1550,1786,46.46282974,51,45030,4.4,8.9,NA,38.1,NA,NA
Winona,16308,10974,59.77567627,35,44485,4.7,11.5,34.1,32.8,0.43,96.7878191
Wright,26343,37779,41.08262375,53,67391,6.2,5,33.4,33.1,0.35,97.4697799
Yellow Medicine,2816,2579,52.19647822,82,44602,5.1,11.1,NA,40.4,NA,NA
